"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Solyc01g081250.31",7.24175504840751,4.7132424296764,20.3213621218175,9.2514056856525e-12,1.52661410107103e-08,16.2253943339689
"Solyc08g074720.21",7.21059998143763,2.64587172898902,6.46084427856227,1.52254548826541e-05,0.00164363765747231,3.23326370329151
"Solyc06g053387.11",7.1900422640877,2.23320059748189,7.17946971769841,4.81422014319648e-06,0.000654224198518382,4.11923655854905
"Solyc06g076670.31",7.18612987504504,1.1716310550356,9.35921178628107,2.17396617351728e-07,4.65027467968484e-05,6.50901231265763
"Solyc02g093600.32",7.00270352433091,2.86012248569783,10.0987849074512,8.55414762950936e-08,2.14802085366223e-05,7.65637960968511
"Solyc11g066100.2",6.96308161692027,4.79965947960604,17.5718140657785,6.54161026938527e-11,6.29684501847243e-08,14.8305083275706
"Solyc06g060340.3",5.51229588872916,2.91268159945428,5.02043840274074,0.00168361898592952,0.0326540000995518,-0.712908666168907
"Solyc02g062340.3",4.97506461395768,2.03487946997346,4.18564845294204,0.00441421394367131,0.0479071170783938,-1.61179159761027
"Solyc07g007750.3",-4.91934595932288,0.977824239373673,-4.8279354055831,0.00208407507238463,0.0348722816360263,-0.933539175361303
"Solyc12g044820.3",4.70189361454586,-0.522923389734834,4.10813317258605,0.00485273469526689,0.0497233353028423,-1.68826267583267
"Solyc01g110890.1",-4.59352270219594,-0.0154428781349738,-5.26931733097297,0.00128738811756818,0.0302093051277469,-0.557014807116564
"Solyc10g075110.2",4.57447526864812,1.54852279369402,6.46867953337472,0.000394054994591218,0.0236805857571355,0.538483641881316
"Solyc12g038510.2",4.3474622333159,-1.55797882106341,8.23210890119534,9.07185103213815e-05,0.0203744639962356,1.21253114774171
"Solyc11g012950.2",4.25302515301736,-0.388686581866421,5.06714066757959,0.00159991880889778,0.0319983761779555,-0.74755788359004
